"Symbol";"Value";"Unit";
"REFERENCE";"DCJ235-05-A-K1-K";"";
"JackCavityDiameter";"6.30mm";"";
"SUPPLIER";"GCT";"";
"TraceParts.PartVersion";"1.0.1";"";
"TraceParts.PartNumber";"90-01072022-031718";"";
"CurrentRating";"5";"";
"JackPinDiameter";"2.35mm";"";
"Orientation";"Horizontal";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"DC Power Jack, Thru Hole, Horizontal, Without Locating Peg, Ø2.35mm, Ø2.40mm Plug";"";
"TraceParts.InstanceId";"90-01072022-031718DRCKBOYBWIJJGB1CWUX5Q3SLV";"";
"MountType";"Thru Hole";"";
"TraceParts.PartTitle";"DCJ235-05";"";
"MatesWithPlugOuter";"5.50mm";"";
"TRACEPARTS";"TRACEPARTS";"";
"MatesWithPlugInner";"2.40mm";"";
"SwitchType";"2 conductors / 3 contacts";"";
"LocatingPeg";"Without Locating Peg";"";
"Shielded";"Unshielded";"";
